,joblinks
61,https://in.linkedin.com/jobs/view/analytics-role-healthcare-at-hiring-partners-hr-solutions-pvt-ltd-3361330289?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=5qf4yBoRiI88INXakc1tRQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
62,https://in.linkedin.com/jobs/view/analyst-senior-analyst-people-analytics-alteryx-at-boston-consulting-group-bcg-3333558474?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=sYv6A%2FdDJ%2FAYukTC4Zh0RA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
63,https://in.linkedin.com/jobs/view/argus-at-tata-consultancy-services-3369200837?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=G%2FAvYSKXSbzekAziid9XOA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
64,https://in.linkedin.com/jobs/view/ciel-sel-23132-data-analyst-at-ciel-hr-3330590614?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=VSk%2BclBHXDk%2FQIaT0fqVww%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
65,https://in.linkedin.com/jobs/view/data-engineer-totogi-remote-%2460-000-year-usd-at-crossover-3367083905?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=TVMcAjjpXpbwCE7jKux1nQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
66,https://in.linkedin.com/jobs/view/data-engineer-at-cionlabs-3287890039?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=kQAHPqZYuy%2Br3r5U7d0PKQ%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
67,https://in.linkedin.com/jobs/view/data-analysts-ministry-of-rural-development-mord-new-delhi-at-national-institute-for-smart-government-3296469369?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=n%2Bz8OMMByldFHXD9AImS6w%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
68,https://in.linkedin.com/jobs/view/data-engineer-at-programmers-io-3335283461?refId=WfhoHL6aFAuTVmXtKkmHNQ%3D%3D&trackingId=fl5Qs6BQaJpyn6g%2B4o8K4g%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
69,https://in.linkedin.com/jobs/view/associate-data-engineer-at-uplers-3373859816?refId=u3qrOTevQ6QCelUBR2HRug%3D%3D&trackingId=hA5C%2BRKQxRFTD4CLfygbDA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
70,https://in.linkedin.com/jobs/view/data-engineering-trainee-at-medtoureasy-3322631229?refId=u3qrOTevQ6QCelUBR2HRug%3D%3D&trackingId=Vhhekvfr87UPiRCHK%2B3rUQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
